COUNTRY_FLYING_MISSION,TGT_COUNTRY,TGT_LOCATION,LATITUDE,MSNDATE,TGT_TYPE,TGT_INDUSTRY
USA,NEW GUINEA,BOIKEN,-3.416666667,143.5,8/1/1944,143.5,675 S
USA,CHINA,SAMAH,18.41666667,109.3333333,4/2/1945,109.3333333,373 BS
USA,JAPAN,OMUTA,33.03333333,130.6,8/7/1945,130.6,98 BS
USA,BURMA,SUMPRABUM,26.58333333,97.58333333,3/15/1944,97.58333333,89 FS
USA,NEW GUINEA,WINDENSI,-2.416666667,134.25,8/15/1944,134.25,82 FS
USA,PHILIPPINE ISLANDS,AGGUGADDAN,17.63333333,121.8166667,5/12/1945,121.8166667,389 S
NEW ZEALAND,SOLOMON ISLANDS,PORTON PLANTATION,-5.516666667,154.7666667,7/14/1944,154.7666667,NO. 9 SQUADRON RNZAF
USA,CELEBES ISLANDS,MAKASSAR,-5.133333,119.416884,6/6/1945,119.416884,868 BS
USA,NEW GUINEA,BIAK,-1,136,5/19/1944,136,370 BS
USA,PHILIPPINE ISLANDS,SILAY,10.8,122.9666667,12/17/1944,122.9666667,71 BS
USA,SOLOMON ISLANDS,KAHILI,-6.8,155.7833333,9/9/1943,155.7833333,31 BS
USA,NEW GUINEA,BUNA - VITIAZ STRAIT - GASMATA,-7.342728,147.81981,11/7/1942,147.81981,3 BG
USA,NEW GUINEA,FOROK,-3.666666667,143.75,6/11/1944,143.75,69 FS
USA,CELEBES ISLANDS,PREPARE,-3.95,119.9,3/31/1945,119.9,868 BS
USA,PHILIPPINE ISLANDS,BATON,8.25,123.75,3/8/1943,123.75,319 BS
USA,BISMARK ARCHIPELAGO,CAPE GLOUCESTER,-5.416666667,148.4166667,8/13/1943,148.4166667,530 BS
USA,PHILIPPINE ISLANDS,16 17 N 120 3,16.28333333,120.6,3/28/1945,120.6,388 S
USA,JAPAN,KOBE,34.7,135.2,3/16/1945,135.2,498 BG
USA,PHILIPPINE ISLANDS,MAGAPIT,18.11666667,121.6833333,6/3/1945,121.6833333,673 S
USA,NEW GUINEA,WARDO,-1.033333333,135.8333333,8/17/1944,135.8333333,7 FS
USA,PHILIPPINE ISLANDS,N LUZON,17.8,121.6166667,6/3/1945,121.6166667,8 S
USA,PHILIPPINE ISLANDS,CABCABEN,14.5,120.5833333,2/14/1945,120.5833333,13 S
USA,CHINA,PINGKIANG,28.7,113.5833333,6/30/1944,113.5833333,11 BS
